month,division,line,day_type,reporting_category,subcategory,delays
2025-01-01,A DIVISION,4,2,Operating Conditions,Other Operating Environment,128
2025-01-01,A DIVISION,4,2,Planned ROW Work,Capital Work - Other Planned ROW,1
2025-01-01,A DIVISION,4,2,Planned ROW Work,Subways Maintenance,72
2025-01-01,A DIVISION,4,2,Police & Medical,Persons on Roadbed,33
2025-01-01,A DIVISION,4,2,Police & Medical,"Public Conduct, Crime, Police Response",109
2025-01-01,A DIVISION,4,2,Police & Medical,Sick/Injured Customer,38
2025-01-01,A DIVISION,5,1,Crew Availability,Crew Availability,12
2025-01-01,A DIVISION,5,1,External Factors,External Agency or Utility,53
2025-01-01,A DIVISION,5,1,External Factors,External Debris on Roadbed,48
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Braking,43
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Door-Related,9
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,"Fire, Smoke, Debris",91
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other - CE,30
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other - Sig,275
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other Infrastructure,45
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Other Internal Disruptions,4
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Propulsion,28
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Rail and Roadbed,37
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Service Delivery,38
2025-01-01,A DIVISION,5,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,9
2025-01-01,A DIVISION,5,1,Operating Conditions,Other Operating Environment,106
2025-01-01,A DIVISION,5,1,Operating Conditions,Service Management,4
2025-01-01,A DIVISION,5,1,Planned ROW Work,Capital Work - Other Planned ROW,6
2025-01-01,A DIVISION,5,1,Planned ROW Work,Subways Maintenance,78
2025-01-01,A DIVISION,5,1,Planned ROW Work,Work Equipment,6
2025-01-01,A DIVISION,5,1,Police & Medical,Persons on Roadbed,142
2025-01-01,A DIVISION,5,1,Police & Medical,"Public Conduct, Crime, Police Response",470
2025-01-01,A DIVISION,5,1,Police & Medical,Sick/Injured Customer,190
2025-01-01,A DIVISION,5,2,Crew Availability,Crew Availability,7
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Door-Related,2
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,"Fire, Smoke, Debris",8
2025-01-01,A DIVISION,5,2,Infrastructure & Equipment,Other - CE,2
