month,division,line,day_type,period,num_timepoints_passing_wait _assessment,num_sched_timepoints,wait assessment
2025-03-01,A DIVISION,7,1,peak,10568,15066,0.70144695
2025-03-01,A DIVISION,7,2,peak,2322,2634,0.881549
2025-03-01,A DIVISION,GS,1,offpeak,6237,6296,0.99062896
2025-03-01,A DIVISION,GS,2,offpeak,2109,2123,0.9934056
2025-03-01,A DIVISION,GS,1,peak,4149,4242,0.9780764
2025-03-01,A DIVISION,GS,2,peak,1230,1240,0.9919355
2025-03-01,B DIVISION,A,1,offpeak,15214,20748,0.7332755
2025-03-01,B DIVISION,A,2,offpeak,5749,7409,0.77594817
2025-03-01,B DIVISION,A,1,peak,10480,15078,0.6950524
2025-03-01,B DIVISION,A,2,peak,2950,3847,0.7668313
2025-03-01,B DIVISION,B,1,offpeak,7684,11581,0.66350055
2025-03-01,B DIVISION,B,1,peak,5441,8543,0.6368957
2025-03-01,B DIVISION,C,1,offpeak,10861,14878,0.730004
2025-03-01,B DIVISION,C,2,offpeak,3582,4664,0.7680103
2025-03-01,B DIVISION,C,1,peak,5882,7957,0.7392233
2025-03-01,B DIVISION,C,2,peak,2037,2605,0.78195775
2025-03-01,B DIVISION,D,1,offpeak,11605,16493,0.7036318
2025-03-01,B DIVISION,D,2,offpeak,4388,5437,0.80706275
2025-03-01,B DIVISION,D,1,peak,6769,9886,0.6847056
2025-03-01,B DIVISION,D,2,peak,2217,2804,0.7906562
2025-03-01,B DIVISION,E,1,offpeak,12789,17742,0.72083193
2025-03-01,B DIVISION,E,2,offpeak,3637,4226,0.86062473
2025-03-01,B DIVISION,E,1,peak,7544,12216,0.61755073
2025-03-01,B DIVISION,E,2,peak,1815,2098,0.8651096
2025-03-01,B DIVISION,F,1,offpeak,19018,29245,0.6502992
2025-03-01,B DIVISION,F,2,offpeak,6089,7674,0.7934584
2025-03-01,B DIVISION,F,1,peak,12833,19848,0.6465639
2025-03-01,B DIVISION,F,2,peak,2996,3822,0.7838828
2025-03-01,B DIVISION,FS,1,offpeak,2565,2615,0.98087955
2025-03-01,B DIVISION,FS,2,offpeak,1176,1185,0.99240506
2025-03-01,B DIVISION,FS,1,peak,1477,1487,0.99327505
2025-03-01,B DIVISION,FS,2,peak,662,670,0.9880597
2025-03-01,B DIVISION,G,1,offpeak,11154,13623,0.81876236
2025-03-01,B DIVISION,G,2,offpeak,4016,5029,0.7985683
2025-03-01,B DIVISION,G,1,peak,6165,7728,0.79774845
2025-03-01,B DIVISION,G,2,peak,2022,2625,0.7702857
2025-03-01,B DIVISION,H,1,offpeak,890,920,0.9673913
2025-03-01,B DIVISION,H,2,offpeak,435,440,0.9886364
2025-03-01,B DIVISION,H,1,peak,489,504,0.9702381
2025-03-01,B DIVISION,H,2,peak,237,240,0.9875
2025-03-01,B DIVISION,J,1,offpeak,10242,12856,0.7966708
2025-03-01,B DIVISION,J,2,offpeak,4063,4881,0.8324114
2025-03-01,B DIVISION,J,1,peak,6440,8548,0.7533926
2025-03-01,B DIVISION,J,2,peak,2171,2613,0.8308458
2025-03-01,B DIVISION,L,1,offpeak,19416,25109,0.7732685
2025-03-01,B DIVISION,L,2,offpeak,7950,10034,0.7923062
2025-03-01,B DIVISION,L,1,peak,11534,15292,0.7542506
2025-03-01,B DIVISION,L,2,peak,4126,5135,0.80350536
2025-03-01,B DIVISION,M,1,offpeak,12214,16728,0.730153
2025-03-01,B DIVISION,M,2,offpeak,1470,1590,0.9245283
2025-03-01,B DIVISION,M,1,peak,8033,11342,0.7082525
2025-03-01,B DIVISION,M,2,peak,782,847,0.92325854
2025-03-01,B DIVISION,N,1,offpeak,12984,18205,0.71321064
2025-03-01,B DIVISION,N,2,offpeak,5467,7086,0.77152133
2025-03-01,B DIVISION,N,1,peak,7501,11252,0.66663706
2025-03-01,B DIVISION,N,2,peak,2820,3580,0.7877095
2025-03-01,B DIVISION,Q,1,offpeak,10004,13924,0.7184717
2025-03-01,B DIVISION,Q,2,offpeak,4562,5595,0.81537086
2025-03-01,B DIVISION,Q,1,peak,6025,8532,0.706165
2025-03-01,B DIVISION,Q,2,peak,2419,2890,0.8370242
2025-03-01,B DIVISION,R,1,offpeak,16010,22162,0.7224077
2025-03-01,B DIVISION,R,2,offpeak,6233,7855,0.79350734
2025-03-01,B DIVISION,R,1,peak,9806,14648,0.66944295
2025-03-01,B DIVISION,R,2,peak,3442,4190,0.82147974
2025-03-01,B DIVISION,W,1,offpeak,7081,8731,0.8110182
2025-03-01,B DIVISION,W,2,offpeak,736,855,0.8608187
2025-03-01,B DIVISION,W,1,peak,4600,6162,0.74651086
2025-03-01,B DIVISION,W,2,peak,434,555,0.781982
