month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2025-01-01,Brooklyn,2,LCL/LTD,B65,Off-Peak,2313,3570,0.647899
2025-01-01,Brooklyn,2,LCL/LTD,B65,Peak,921,1305,0.705747
2025-01-01,Brooklyn,1,LCL/LTD,B67,Off-Peak,8230,10194,0.807338
2025-01-01,Brooklyn,1,LCL/LTD,B67,Peak,4438,6391,0.694414
2025-01-01,Brooklyn,2,LCL/LTD,B67,Off-Peak,1617,1942,0.832647
2025-01-01,Brooklyn,2,LCL/LTD,B67,Peak,519,699,0.742489
2025-01-01,Brooklyn,1,LCL/LTD,B68,Off-Peak,11804,15637,0.754876
2025-01-01,Brooklyn,1,LCL/LTD,B68,Peak,4815,7163,0.672204
2025-01-01,Brooklyn,2,LCL/LTD,B68,Off-Peak,3990,4889,0.816118
2025-01-01,Brooklyn,2,LCL/LTD,B68,Peak,1453,1876,0.77452
2025-01-01,Brooklyn,1,LCL/LTD,B69,Off-Peak,5713,6913,0.826414
2025-01-01,Brooklyn,1,LCL/LTD,B69,Peak,3737,5116,0.730453
2025-01-01,Brooklyn,2,LCL/LTD,B69,Off-Peak,1156,1512,0.76455
2025-01-01,Brooklyn,2,LCL/LTD,B69,Peak,574,710,0.808451
2025-01-01,Brooklyn,1,LCL/LTD,B7,Off-Peak,7222,9541,0.756944
2025-01-01,Brooklyn,1,LCL/LTD,B7,Peak,4063,5792,0.701485
2025-01-01,Brooklyn,2,LCL/LTD,B7,Off-Peak,1403,1912,0.733787
2025-01-01,Brooklyn,2,LCL/LTD,B7,Peak,641,894,0.717002
2025-01-01,Brooklyn,1,LCL/LTD,B70,Off-Peak,6849,8778,0.780246
2025-01-01,Brooklyn,1,LCL/LTD,B70,Peak,3548,4962,0.715034
2025-01-01,Brooklyn,2,LCL/LTD,B70,Off-Peak,2100,2754,0.762527
2025-01-01,Brooklyn,2,LCL/LTD,B70,Peak,830,1121,0.74041
2025-01-01,Brooklyn,1,LCL/LTD,B74,Off-Peak,917,1146,0.800175
2025-01-01,Brooklyn,1,LCL/LTD,B74,Peak,477,672,0.709821
2025-01-01,Brooklyn,2,LCL/LTD,B74,Off-Peak,246,347,0.708934
2025-01-01,Brooklyn,2,LCL/LTD,B74,Peak,82,144,0.569444
2025-01-01,Brooklyn,1,LCL/LTD,B8,Off-Peak,11469,14793,0.775299
2025-01-01,Brooklyn,1,LCL/LTD,B8,Peak,5633,8221,0.685196
2025-01-01,Brooklyn,2,LCL/LTD,B8,Off-Peak,3356,4434,0.756879
2025-01-01,Brooklyn,2,LCL/LTD,B8,Peak,1302,1801,0.722932
2025-01-01,Brooklyn,1,LCL/LTD,B82,Off-Peak,14997,19625,0.764178
2025-01-01,Brooklyn,1,LCL/LTD,B82,Peak,4969,7525,0.660332
2025-01-01,Brooklyn,2,LCL/LTD,B82,Off-Peak,4527,6133,0.738138
2025-01-01,Brooklyn,2,LCL/LTD,B82,Peak,1819,2626,0.692688
2025-01-01,Brooklyn,1,SBS,B82+,Off-Peak,984,1241,0.792909
2025-01-01,Brooklyn,1,SBS,B82+,Peak,495,734,0.674387
2025-01-01,Brooklyn,1,LCL/LTD,B83,Off-Peak,9289,12397,0.749294
2025-01-01,Brooklyn,1,LCL/LTD,B83,Peak,3903,5729,0.681271
2025-01-01,Brooklyn,2,LCL/LTD,B83,Off-Peak,2014,2824,0.713173
2025-01-01,Brooklyn,2,LCL/LTD,B83,Peak,793,1183,0.67033
2025-01-01,Brooklyn,1,LCL/LTD,B84,Off-Peak,560,687,0.815138
2025-01-01,Brooklyn,1,LCL/LTD,B84,Peak,306,391,0.782609
2025-01-01,Brooklyn,2,LCL/LTD,B84,Off-Peak,114,131,0.870229
2025-01-01,Brooklyn,2,LCL/LTD,B84,Peak,41,50,0.82
2025-01-01,Brooklyn,1,LCL/LTD,B9,Off-Peak,14431,18397,0.784421
2025-01-01,Brooklyn,1,LCL/LTD,B9,Peak,6763,9430,0.717179
2025-01-01,Brooklyn,2,LCL/LTD,B9,Off-Peak,3947,5171,0.763295
2025-01-01,Brooklyn,2,LCL/LTD,B9,Peak,1384,1883,0.734997
2025-01-01,Brooklyn,1,EXP,BM1,Off-Peak,1065,1449,0.73499
2025-01-01,Brooklyn,1,EXP,BM1,Peak,947,1434,0.660391
2025-01-01,Brooklyn,2,EXP,BM1,Off-Peak,111,136,0.816176
2025-01-01,Brooklyn,2,EXP,BM1,Peak,24,48,0.5
2025-01-01,Brooklyn,1,EXP,BM2,Off-Peak,1331,1644,0.809611
2025-01-01,Brooklyn,1,EXP,BM2,Peak,765,1197,0.639098
2025-01-01,Brooklyn,2,EXP,BM2,Off-Peak,142,167,0.850299
2025-01-01,Brooklyn,2,EXP,BM2,Peak,50,52,0.961538
2025-01-01,Brooklyn,1,EXP,BM3,Off-Peak,1136,1527,0.743942
2025-01-01,Brooklyn,1,EXP,BM3,Peak,752,1252,0.600639
2025-01-01,Brooklyn,2,EXP,BM3,Off-Peak,123,172,0.715116
2025-01-01,Brooklyn,2,EXP,BM3,Peak,44,55,0.8
2025-01-01,Brooklyn,1,EXP,BM4,Off-Peak,674,942,0.715499
2025-01-01,Brooklyn,1,EXP,BM4,Peak,703,1171,0.600342
2025-01-01,Brooklyn,2,EXP,BM4,Off-Peak,123,145,0.848276
2025-01-01,Brooklyn,2,EXP,BM4,Peak,30,38,0.789474
2025-01-01,Brooklyn,1,EXP,BM5,Off-Peak,456,590,0.772881
2025-01-01,Brooklyn,1,EXP,BM5,Peak,380,589,0.645161
2025-01-01,Brooklyn,2,EXP,BM5,Off-Peak,48,54,0.888889
2025-01-01,Brooklyn,2,EXP,BM5,Peak,15,21,0.714286
2025-01-01,Brooklyn,1,EXP,X27,Off-Peak,2317,2617,0.885365
2025-01-01,Brooklyn,1,EXP,X27,Peak,1003,1333,0.752438
2025-01-01,Brooklyn,2,EXP,X27,Off-Peak,594,687,0.864629
2025-01-01,Brooklyn,2,EXP,X27,Peak,265,322,0.822981
2025-01-01,Brooklyn,1,EXP,X28,Off-Peak,2395,2759,0.868068
2025-01-01,Brooklyn,1,EXP,X28,Peak,1266,1749,0.723842
2025-01-01,Brooklyn,2,EXP,X28,Off-Peak,555,679,0.817378
2025-01-01,Brooklyn,2,EXP,X28,Peak,321,403,0.796526
2025-01-01,Brooklyn,1,EXP,X37,Off-Peak,119,149,0.798658
2025-01-01,Brooklyn,1,EXP,X37,Peak,927,1227,0.755501
2025-01-01,Brooklyn,1,EXP,X38,Off-Peak,199,230,0.865217
2025-01-01,Brooklyn,1,EXP,X38,Peak,994,1369,0.726077
2025-01-01,Manhattan,1,LCL/LTD,M1,Off-Peak,9013,11223,0.803083
2025-01-01,Manhattan,1,LCL/LTD,M1,Peak,4749,6550,0.725038
2025-01-01,Manhattan,2,LCL/LTD,M1,Off-Peak,2049,2912,0.70364
2025-01-01,Manhattan,2,LCL/LTD,M1,Peak,885,1249,0.708567
2025-01-01,Manhattan,1,LCL/LTD,M10,Off-Peak,7230,8004,0.903298
2025-01-01,Manhattan,1,LCL/LTD,M10,Peak,3386,4236,0.799339
2025-01-01,Manhattan,2,LCL/LTD,M10,Off-Peak,2147,2750,0.780727
2025-01-01,Manhattan,2,LCL/LTD,M10,Peak,903,1132,0.797703
2025-01-01,Manhattan,1,LCL/LTD,M100,Off-Peak,9534,11567,0.824241
2025-01-01,Manhattan,1,LCL/LTD,M100,Peak,4199,5495,0.764149
2025-01-01,Manhattan,2,LCL/LTD,M100,Off-Peak,2282,2794,0.81675
2025-01-01,Manhattan,2,LCL/LTD,M100,Peak,941,1110,0.847748
2025-01-01,Manhattan,1,LCL/LTD,M101,Off-Peak,25229,30147,0.836866
2025-01-01,Manhattan,1,LCL/LTD,M101,Peak,8431,11386,0.740471
2025-01-01,Manhattan,2,LCL/LTD,M101,Off-Peak,5395,6998,0.770935
2025-01-01,Manhattan,2,LCL/LTD,M101,Peak,1852,2432,0.761513
2025-01-01,Manhattan,1,LCL/LTD,M102,Off-Peak,12993,15896,0.817375
2025-01-01,Manhattan,1,LCL/LTD,M102,Peak,4537,6226,0.728718
2025-01-01,Manhattan,2,LCL/LTD,M102,Off-Peak,3060,3910,0.782609
2025-01-01,Manhattan,2,LCL/LTD,M102,Peak,1131,1459,0.775188
2025-01-01,Manhattan,1,LCL/LTD,M103,Off-Peak,12768,15609,0.81799
2025-01-01,Manhattan,1,LCL/LTD,M103,Peak,4354,5908,0.736967
