month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2015-01-01,Brooklyn,1,LCL/LTD,B35,Off-Peak,18194,22504,0.808478493
2015-01-01,Brooklyn,1,LCL/LTD,B35,Peak,5917,8667,0.682704511
2015-01-01,Brooklyn,1,LCL/LTD,B36,Off-Peak,7366,8980,0.820267261
2015-01-01,Brooklyn,1,LCL/LTD,B36,Peak,3848,5394,0.713385243
2015-01-01,Brooklyn,1,LCL/LTD,B37,Off-Peak,4474,5481,0.816274402
2015-01-01,Brooklyn,1,LCL/LTD,B37,Peak,1534,2091,0.733620277
2015-01-01,Brooklyn,1,LCL/LTD,B38,Off-Peak,21466,26506,0.809854373
2015-01-01,Brooklyn,1,LCL/LTD,B38,Peak,8872,12911,0.687165982
2015-01-01,Brooklyn,1,LCL/LTD,B4,Off-Peak,6568,7905,0.83086654
2015-01-01,Brooklyn,1,LCL/LTD,B4,Peak,3134,4442,0.705538046
2015-01-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,20626,28152,0.73266553
2015-01-01,Brooklyn,1,LCL/LTD,B41,Peak,8862,13458,0.65849309
2015-01-01,Brooklyn,1,LCL/LTD,B43,Off-Peak,11154,14238,0.783396544
2015-01-01,Brooklyn,1,LCL/LTD,B43,Peak,4420,6435,0.686868687
2015-01-01,Brooklyn,1,LCL/LTD,B44,Off-Peak,15770,19988,0.788973384
2015-01-01,Brooklyn,1,LCL/LTD,B44,Peak,5540,8306,0.66698772
2015-01-01,Brooklyn,1,LCL/LTD,B45,Off-Peak,6990,9631,0.725781331
2015-01-01,Brooklyn,1,LCL/LTD,B45,Peak,2864,4496,0.637010676
2015-01-01,Brooklyn,1,LCL/LTD,B46,Off-Peak,41783,54349,0.768790594
2015-01-01,Brooklyn,1,LCL/LTD,B46,Peak,18791,28329,0.663313213
2015-01-01,Brooklyn,1,LCL/LTD,B47,Off-Peak,14207,18153,0.782625461
2015-01-01,Brooklyn,1,LCL/LTD,B47,Peak,5824,9015,0.646034387
2015-01-01,Brooklyn,1,LCL/LTD,B48,Off-Peak,8515,9827,0.866490282
2015-01-01,Brooklyn,1,LCL/LTD,B48,Peak,2629,3893,0.675314667
2015-01-01,Brooklyn,1,LCL/LTD,B49,Off-Peak,17011,20861,0.815445089
2015-01-01,Brooklyn,1,LCL/LTD,B49,Peak,6344,9328,0.680102916
2015-01-01,Brooklyn,1,LCL/LTD,B52,Off-Peak,13588,16168,0.840425532
2015-01-01,Brooklyn,1,LCL/LTD,B52,Peak,5370,7656,0.701410658
2015-01-01,Brooklyn,1,LCL/LTD,B54,Off-Peak,7270,8616,0.843779016
2015-01-01,Brooklyn,1,LCL/LTD,B54,Peak,2842,3948,0.719858156
2015-01-01,Brooklyn,1,LCL/LTD,B57,Off-Peak,8481,10566,0.802668938
2015-01-01,Brooklyn,1,LCL/LTD,B57,Peak,3197,4830,0.661904762
2015-01-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,37081,46189,0.802810193
2015-01-01,Brooklyn,1,LCL/LTD,B6,Peak,13533,20435,0.662246146
2015-01-01,Brooklyn,1,LCL/LTD,B60,Off-Peak,10261,13329,0.769825193
2015-01-01,Brooklyn,1,LCL/LTD,B60,Peak,4594,6742,0.681400178
2015-01-01,Brooklyn,1,LCL/LTD,B61,Off-Peak,11011,12906,0.853169069
2015-01-01,Brooklyn,1,LCL/LTD,B61,Peak,4438,5823,0.762150094
2015-01-01,Brooklyn,1,LCL/LTD,B62,Off-Peak,8382,10923,0.767371601
2015-01-01,Brooklyn,1,LCL/LTD,B62,Peak,3164,5016,0.630781499
2015-01-01,Brooklyn,1,LCL/LTD,B63,Off-Peak,10778,12459,0.865077454
2015-01-01,Brooklyn,1,LCL/LTD,B63,Peak,4161,5693,0.730897594
2015-01-01,Brooklyn,1,LCL/LTD,B64,Off-Peak,7420,8436,0.879563774
2015-01-01,Brooklyn,1,LCL/LTD,B64,Peak,3428,4522,0.75807165
2015-01-01,Brooklyn,1,LCL/LTD,B65,Off-Peak,5925,7744,0.765108471
2015-01-01,Brooklyn,1,LCL/LTD,B65,Peak,2667,4085,0.652876377
2015-01-01,Brooklyn,1,LCL/LTD,B67,Off-Peak,6571,8142,0.807049865
2015-01-01,Brooklyn,1,LCL/LTD,B67,Peak,3078,4617,0.666666667
